N,itm,Date,u,v
1,1,2025-10-21 18:30:00,-0.02,-0.03
2,2,2025-10-21 19:30:00,-0.04,-0.03
3,3,2025-10-21 20:30:00,-0.05,-0.04
4,4,2025-10-21 21:30:00,-0.06,-0.04
5,5,2025-10-21 22:30:00,-0.07,-0.05
6,6,2025-10-21 23:30:00,-0.07,-0.04
7,7,2025-10-22 00:30:00,-0.06,-0.02
8,8,2025-10-22 01:30:00,-0.04,-0.01
9,9,2025-10-22 02:30:00,-0.01,0.01
10,10,2025-10-22 03:30:00,0.01,0.02
11,11,2025-10-22 04:30:00,0.03,0.03
12,12,2025-10-22 05:30:00,0.03,0.03
13,13,2025-10-22 06:30:00,0.03,0.02
14,14,2025-10-22 07:30:00,0.03,0.0
15,15,2025-10-22 08:30:00,0.03,-0.03
16,16,2025-10-22 09:30:00,0.01,-0.07
17,17,2025-10-22 10:30:00,-0.02,-0.08
18,18,2025-10-22 11:30:00,-0.05,-0.06
19,19,2025-10-22 12:30:00,-0.07,-0.04
20,20,2025-10-22 13:30:00,-0.08,-0.03
21,21,2025-10-22 14:30:00,-0.07,-0.03
22,22,2025-10-22 15:30:00,-0.06,-0.04
23,23,2025-10-22 16:30:00,-0.06,-0.06
24,24,2025-10-22 17:30:00,-0.06,-0.06
25,25,2025-10-22 18:30:00,-0.06,-0.05
26,26,2025-10-22 19:30:00,-0.06,-0.03
27,27,2025-10-22 20:30:00,-0.05,0.0
28,28,2025-10-22 21:30:00,-0.03,0.02
29,29,2025-10-22 22:30:00,0.0,0.04
30,30,2025-10-22 23:30:00,0.03,0.05
31,31,2025-10-23 00:30:00,0.06,0.06
32,32,2025-10-23 01:30:00,0.09,0.07
33,33,2025-10-23 02:30:00,0.1,0.07
34,34,2025-10-23 03:30:00,0.09,0.06
35,35,2025-10-23 04:30:00,0.07,0.04
36,36,2025-10-23 05:30:00,0.04,0.01
37,37,2025-10-23 06:30:00,0.03,-0.02
38,38,2025-10-23 07:30:00,0.03,-0.06
39,39,2025-10-23 08:30:00,-0.01,-0.1
40,40,2025-10-23 09:30:00,-0.05,-0.08
41,41,2025-10-23 10:30:00,-0.08,-0.05
42,42,2025-10-23 11:30:00,-0.09,-0.01
43,43,2025-10-23 12:30:00,-0.07,0.01
44,44,2025-10-23 13:30:00,-0.05,0.02
45,45,2025-10-23 14:30:00,-0.02,0.02
46,46,2025-10-23 15:30:00,0.01,0.01
47,47,2025-10-23 16:30:00,0.03,-0.01
48,48,2025-10-23 17:30:00,0.03,-0.03
49,49,2025-10-23 18:30:00,0.02,-0.03
50,50,2025-10-23 19:30:00,-0.01,-0.03
51,51,2025-10-23 20:30:00,-0.03,-0.01
52,52,2025-10-23 21:30:00,-0.03,0.01
53,53,2025-10-23 22:30:00,-0.02,0.03
54,54,2025-10-23 23:30:00,0.0,0.05
55,55,2025-10-24 00:30:00,0.04,0.07
56,56,2025-10-24 01:30:00,0.07,0.09
57,57,2025-10-24 02:30:00,0.1,0.11
58,58,2025-10-24 03:30:00,0.11,0.11
59,59,2025-10-24 04:30:00,0.1,0.1
60,60,2025-10-24 05:30:00,0.06,0.08
61,61,2025-10-24 06:30:00,0.03,0.07
62,62,2025-10-24 07:30:00,0.06,0.01
63,63,2025-10-24 08:30:00,0.06,-0.09
