N,itm,Date,u,v
1,1,2025-10-21 18:30:00,0.02,0.12
2,2,2025-10-21 19:30:00,0.01,0.12
3,3,2025-10-21 20:30:00,0.02,0.13
4,4,2025-10-21 21:30:00,0.02,0.13
5,5,2025-10-21 22:30:00,0.02,0.13
6,6,2025-10-21 23:30:00,0.02,0.12
7,7,2025-10-22 00:30:00,0.02,0.12
8,8,2025-10-22 01:30:00,0.02,0.11
9,9,2025-10-22 02:30:00,0.02,0.1
10,10,2025-10-22 03:30:00,0.02,0.1
11,11,2025-10-22 04:30:00,0.02,0.09
12,12,2025-10-22 05:30:00,0.02,0.09
13,13,2025-10-22 06:30:00,0.01,0.08
14,14,2025-10-22 07:30:00,0.01,0.08
15,15,2025-10-22 08:30:00,0.01,0.09
16,16,2025-10-22 09:30:00,0.01,0.09
17,17,2025-10-22 10:30:00,0.01,0.1
18,18,2025-10-22 11:30:00,0.01,0.1
19,19,2025-10-22 12:30:00,0.02,0.1
20,20,2025-10-22 13:30:00,0.02,0.1
21,21,2025-10-22 14:30:00,0.02,0.1
22,22,2025-10-22 15:30:00,0.02,0.1
23,23,2025-10-22 16:30:00,0.02,0.1
24,24,2025-10-22 17:30:00,0.02,0.09
25,25,2025-10-22 18:30:00,0.02,0.09
26,26,2025-10-22 19:30:00,0.02,0.08
27,27,2025-10-22 20:30:00,0.02,0.08
28,28,2025-10-22 21:30:00,0.01,0.07
29,29,2025-10-22 22:30:00,0.01,0.07
30,30,2025-10-22 23:30:00,0.01,0.06
31,31,2025-10-23 00:30:00,0.01,0.06
32,32,2025-10-23 01:30:00,0.01,0.07
33,33,2025-10-23 02:30:00,0.01,0.07
34,34,2025-10-23 03:30:00,0.01,0.08
35,35,2025-10-23 04:30:00,0.01,0.08
36,36,2025-10-23 05:30:00,0.01,0.08
37,37,2025-10-23 06:30:00,0.01,0.08
38,38,2025-10-23 07:30:00,0.01,0.08
39,39,2025-10-23 08:30:00,0.01,0.08
40,40,2025-10-23 09:30:00,0.01,0.08
41,41,2025-10-23 10:30:00,0.0,0.08
42,42,2025-10-23 11:30:00,0.0,0.07
43,43,2025-10-23 12:30:00,0.0,0.07
44,44,2025-10-23 13:30:00,0.0,0.06
45,45,2025-10-23 14:30:00,0.0,0.06
46,46,2025-10-23 15:30:00,0.0,0.06
47,47,2025-10-23 16:30:00,0.0,0.06
48,48,2025-10-23 17:30:00,-0.0,0.06
49,49,2025-10-23 18:30:00,-0.0,0.07
50,50,2025-10-23 19:30:00,-0.0,0.07
51,51,2025-10-23 20:30:00,-0.01,0.07
52,52,2025-10-23 21:30:00,-0.0,0.07
53,53,2025-10-23 22:30:00,-0.0,0.08
54,54,2025-10-23 23:30:00,0.0,0.08
55,55,2025-10-24 00:30:00,0.01,0.08
56,56,2025-10-24 01:30:00,0.01,0.08
57,57,2025-10-24 02:30:00,0.02,0.08
58,58,2025-10-24 03:30:00,0.02,0.09
59,59,2025-10-24 04:30:00,0.02,0.09
60,60,2025-10-24 05:30:00,0.02,0.1
61,61,2025-10-24 06:30:00,0.02,0.1
62,62,2025-10-24 07:30:00,0.02,0.11
63,63,2025-10-24 08:30:00,0.01,0.11
64,64,2025-10-24 09:30:00,0.01,0.11
65,65,2025-10-24 10:30:00,0.01,0.11
66,66,2025-10-24 11:30:00,0.01,0.1
67,67,2025-10-24 12:30:00,0.01,0.1
68,68,2025-10-24 13:30:00,0.01,0.09
69,69,2025-10-24 14:30:00,0.01,0.09
70,70,2025-10-24 15:30:00,0.0,0.08
71,71,2025-10-24 16:30:00,0.0,0.08
72,72,2025-10-24 17:30:00,0.0,0.07
73,73,2025-10-24 18:30:00,0.01,0.06
74,74,2025-10-24 19:30:00,0.01,0.05
75,75,2025-10-24 20:30:00,0.0,0.04
76,76,2025-10-24 21:30:00,0.0,0.04
77,77,2025-10-24 22:30:00,0.0,0.04
78,78,2025-10-24 23:30:00,0.0,0.04
79,79,2025-10-25 00:30:00,0.01,0.05
80,80,2025-10-25 01:30:00,0.01,0.05
81,81,2025-10-25 02:30:00,0.01,0.05
82,82,2025-10-25 03:30:00,0.02,0.05
83,83,2025-10-25 04:30:00,0.02,0.05
84,84,2025-10-25 05:30:00,0.02,0.05
85,85,2025-10-25 06:30:00,0.02,0.05
86,86,2025-10-25 07:30:00,0.02,0.04
87,87,2025-10-25 08:30:00,0.02,0.04
88,88,2025-10-25 09:30:00,0.02,0.03
89,89,2025-10-25 10:30:00,0.02,0.02
90,90,2025-10-25 11:30:00,0.01,0.02
91,91,2025-10-25 12:30:00,0.01,0.01
92,92,2025-10-25 13:30:00,0.01,0.0
93,93,2025-10-25 14:30:00,0.01,-0.0
94,94,2025-10-25 15:30:00,0.01,-0.01
95,95,2025-10-25 16:30:00,0.0,-0.01
96,96,2025-10-25 17:30:00,0.0,-0.0
97,97,2025-10-25 18:30:00,0.0,-0.0
98,98,2025-10-25 19:30:00,-0.0,0.0
99,99,2025-10-25 20:30:00,-0.0,0.01
100,100,2025-10-25 21:30:00,-0.0,0.01
101,101,2025-10-25 22:30:00,-0.0,0.01
102,102,2025-10-25 23:30:00,-0.0,0.02
103,103,2025-10-26 00:30:00,-0.0,0.02
104,104,2025-10-26 01:30:00,-0.0,0.02
105,105,2025-10-26 02:30:00,0.0,0.02
106,106,2025-10-26 03:30:00,0.0,0.02
107,107,2025-10-26 04:30:00,0.0,0.02
108,108,2025-10-26 05:30:00,0.0,0.02
109,109,2025-10-26 06:30:00,-0.0,0.02
110,110,2025-10-26 07:30:00,-0.0,0.02
111,111,2025-10-26 08:30:00,-0.0,0.01
112,112,2025-10-26 09:30:00,-0.01,0.01
113,113,2025-10-26 10:30:00,-0.01,0.01
114,114,2025-10-26 11:30:00,-0.01,0.01
115,115,2025-10-26 12:30:00,-0.02,0.0
116,116,2025-10-26 13:30:00,-0.02,0.0
117,117,2025-10-26 14:30:00,-0.02,0.0
118,118,2025-10-26 15:30:00,-0.02,0.0
119,119,2025-10-26 16:30:00,-0.03,0.0
120,120,2025-10-26 17:30:00,-0.03,0.01
121,121,2025-10-26 18:30:00,-0.03,0.01
122,122,2025-10-26 19:30:00,-0.03,0.02
123,123,2025-10-26 20:30:00,-0.03,0.04
124,124,2025-10-26 21:30:00,-0.02,0.05
125,125,2025-10-26 22:30:00,-0.02,0.06
126,126,2025-10-26 23:30:00,-0.01,0.08
127,127,2025-10-27 00:30:00,-0.01,0.09
128,128,2025-10-27 01:30:00,0.0,0.1
129,129,2025-10-27 02:30:00,0.01,0.1
130,130,2025-10-27 03:30:00,0.02,0.11
131,131,2025-10-27 04:30:00,0.02,0.11
132,132,2025-10-27 05:30:00,0.02,0.1
133,133,2025-10-27 06:30:00,0.02,0.1
134,134,2025-10-27 07:30:00,0.02,0.1
135,135,2025-10-27 08:30:00,0.02,0.1
136,136,2025-10-27 09:30:00,0.02,0.09
137,137,2025-10-27 10:30:00,0.02,0.08
138,138,2025-10-27 11:30:00,0.02,0.08
139,139,2025-10-27 12:30:00,0.02,0.07
140,140,2025-10-27 13:30:00,0.02,0.06
141,141,2025-10-27 14:30:00,0.02,0.06
142,142,2025-10-27 15:30:00,0.02,0.05
143,143,2025-10-27 16:30:00,0.02,0.05
144,144,2025-10-27 17:30:00,0.01,0.04
145,145,2025-10-27 18:30:00,0.01,0.05
146,146,2025-10-27 19:30:00,0.0,0.06
147,147,2025-10-27 20:30:00,-0.0,0.07
148,148,2025-10-27 21:30:00,-0.01,0.09
149,149,2025-10-27 22:30:00,-0.01,0.11
150,150,2025-10-27 23:30:00,-0.01,0.13
151,151,2025-10-28 00:30:00,-0.0,0.15
152,152,2025-10-28 01:30:00,0.0,0.16
153,153,2025-10-28 02:30:00,0.01,0.17
154,154,2025-10-28 03:30:00,0.02,0.17
155,155,2025-10-28 04:30:00,0.02,0.16
156,156,2025-10-28 05:30:00,0.02,0.15
157,157,2025-10-28 06:30:00,0.01,0.13
158,158,2025-10-28 07:30:00,0.01,0.1
159,159,2025-10-28 08:30:00,0.01,0.07
160,160,2025-10-28 09:30:00,0.02,0.03
161,161,2025-10-28 10:30:00,0.02,0.03
162,162,2025-10-28 11:30:00,0.02,0.02
163,163,2025-10-28 12:30:00,0.02,0.03
164,164,2025-10-28 13:30:00,0.02,0.03
165,165,2025-10-28 14:30:00,0.02,0.03
